Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,660.950012,666.299988,654.150024,665.049988,640.886658,2943390
2019-01-02,666.000000,674.000000,662.049988,669.049988,644.741272,7416655
2019-01-03,672.000000,677.000000,663.099976,669.150024,644.837646,6827249
2019-01-04,671.750000,673.900024,651.000000,661.049988,637.031982,7889310
2019-01-07,665.000000,673.599976,661.500000,671.700012,647.295044,8046340
2019-01-08,674.950012,677.450012,668.549988,670.049988,645.704956,8621545
2019-01-09,686.200012,689.799988,664.000000,676.099976,651.535095,18130292
2019-01-10,681.599976,682.000000,672.549988,679.700012,655.004333,9572493
2019-01-11,680.200012,685.500000,672.500000,683.500000,658.666260,12281903
2019-01-14,707.000000,710.200012,695.950012,701.900024,676.397766,19312937
2019-01-15,707.200012,730.000000,707.200012,726.599976,700.200256,19671304
2019-01-16,729.900024,737.799988,728.500000,736.799988,710.029663,9658944
2019-01-17,735.799988,739.000000,729.099976,733.349976,706.705078,6903771
2019-01-18,730.000000,736.200012,726.299988,730.950012,704.392334,5902151
2019-01-21,738.200012,751.000000,734.000000,745.000000,717.931763,8129422
2019-01-22,741.250000,749.000000,734.000000,745.349976,718.269043,6723375
2019-01-23,742.349976,742.599976,729.200012,731.650024,705.066833,7212099
2019-01-24,728.099976,736.099976,721.000000,732.000000,705.404114,7429783
2019-01-25,728.000000,737.900024,724.250000,730.349976,703.814026,5543112
2019-01-28,731.000000,732.599976,719.000000,727.950012,701.501282,7944693
2019-01-29,725.500000,732.849976,716.500000,727.900024,701.453064,6760819
2019-01-30,727.900024,734.799988,721.099976,725.900024,699.525757,5763026
